Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),LOWER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),UPPER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),LOWER_ZONE:Zone People Number Of Occupants [](Hourly),LOWER_ZONE:Zone People Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Lights Electric Consumption [J](Hourly),LOWER_ZONE:Zone Lights Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Electric Equipment Electric Consumption [J](Hourly),LOWER_ZONE:Zone Electric Equipment Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Transmitted Solar Energy[J](Hourly),UPPER_ZONE:Zone Transmitted Solar Energy[J](Hourly),LOWER_ZONE:Zone Mean Air Temperature [C](Hourly),LOWER_ZONE:Zone Operative Temperature [C](Hourly),LOWER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),UPPER_ZONE:Zone Mean Air Temperature [C](Hourly),UPPER_ZONE:Zone Operative Temperature [C](Hourly),UPPER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),LOWER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),UPPER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Loss [J](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Ventilation Air Change Rate [ach](Hourly),LOWER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),LOWER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),PV_SURFACE:PV Generator DC Energy [J](Hourly),WT1:Wind Turbine Electric Energy Produced [J](Hourly),WT2:Wind Turbine Electric Energy Produced [J](Hourly) 
 10/15  03:00:00,13,2.5,0,0,0,0,0,0,0,0,0,0,19.86169818,20.26962283,219.1327182,19.50916982,19.85870593,115.4759001,0.511963874,0.511374506,0,0,0,0,0,0,0,0,0,0
 10/15  04:00:00,13,3.1,0,0,0,0,0,0,0,0,0,0,19.74567032,20.14991742,216.4505176,19.39718846,19.74466546,114.4384216,0.511771133,0.511188085,0,0,0,0,0,0,0,0,0,0
 10/15  05:00:00,13,2.7875,0,0,0,0,0,0,0,0,0,0,19.64813446,20.04900615,214.1560104,19.31037991,19.65470424,113.4683744,0.511606441,0.511041689,0,0,0,0,0,0,0,0,0,0
 10/15  06:00:00,13,1.9125,0,0,0,0,0,0,0,0,0,0,21.10294777,20.86713917,-159.8991164,19.29428911,19.64004308,116.9131237,0.514254945,0.511115879,0,0,0,1559971.005,0,0,0,0,0,0
 10/15  07:00:00,13,2.1875,0,0,0,0,0,0,0,0,66052.72122,121928.5524,21.00000048,20.8584227,-114.2720653,19.30054287,19.64768831,117.1805431,0.513978964,0.511029121,0,0,0,1347890.924,0,0,0,69117.84504,0,0
 10/15  08:00:00,13,0.975,0,0,0,0,0,0,0,0,366446.4849,667708.4127,21,20.92446031,-83.35395752,19.47611634,19.83719007,129.5925343,0.513980368,0.511336738,0,0,0,1253787.409,0,0,0,390759.2447,0,0
 10/15  09:00:00,13,0.6875,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,762448.8,1332031.514,23.36801749,22.52670327,-556.3966548,19.90616657,20.30487894,156.865964,0.518427373,0.512415893,1950249.133,0,0.777614649,0,146689.3197,0,0,791498.5868,0,0
 10/15  10:00:00,13,1.725,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1288045.121,2019934.234,23.99999973,23.09122483,-642.3192796,20.43902416,20.81187429,149.4139162,0.51913649,0.513020555,2260732.622,0,0.778678289,0,808613.1398,0,0,1416356.282,0,0
 10/15  11:00:00,13.625,2.725,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1916471.363,2490273.74,23.69048815,23.12361496,-389.0014174,20.88078704,21.24560884,149.542307,0.5175736,0.512781295,2410872.085,0,1.631212419,603168.2347,1181746.446,0,0,2512541.86,0,0
 10/15  12:00:00,15.25,3.1,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1960769.431,2247549.243,23.95906721,23.37513434,-365.2037389,21.22616575,21.54798816,129.1517569,0.515097114,0.510464086,1868843.272,0,0.77261943,0,2527125.272,0,0,2814065.461,0,0
