Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),ZN_1_FLR_1_SEC_4:Zone People Number Of Occupants [](Hourly),ZN_1_FLR_1_SEC_4:Zone Lights Electric Power [W](Hourly),ZN_1_FLR_1_SEC_4:Zone Electric Equipment Electric Consumption [J](Hourly),80224C:Window Transmitted Solar Energy[J](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Radiant Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Air Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Operative Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Infiltration Air Change Rate [ach](Hourly),ZN_1_FLR_1_SEC_4:Zone Ventilation Air Change Rate [ach](Hourly) 
 06/28  22:00:00,16.15,0.0,57.6339651272034,605156.633835636,0.0,22.5836523566712,18.355450937087,20.4695516468791,0.503814566299118,10.0762913259823 
 06/28  23:00:00,14.75,0.0,57.6339651272034,605156.633835636,0.0,21.8634632139813,18.800291637414,20.3318774256976,0.507369740359205,3.78982382234774 
 06/28  24:00:00,14.,0.0,57.6339651272034,605156.633835636,0.0,21.3786877368167,18.3457721745509,19.8622299556838,0.507922687918443,3.37255772157718 
 06/29  01:00:00,15.875,0.0,57.6339651272034,605156.633835636,0.0,20.9845556349487,18.421168788441,19.7028622116948,0.504761650234627,5.87172420851464 
 06/29  02:00:00,17.,0.0,57.6339651272034,605156.633835636,0.0,20.6354410124804,18.1422466673509,19.3888438399156,0.501972060161474,10.0394412032295 
 06/29  03:00:00,17.,0.0,57.6339651272034,605156.633835636,0.0,20.2910653844436,18.0199583823062,19.1555118833749,0.501762704158855,10.0352540831771 
 06/29  04:00:00,17.,0.0,57.6339651272034,605156.633835636,0.0,19.9888183183844,18.0478198501195,19.018319084252,0.501984681127333,8.36282828471404 
 06/29  05:00:00,17.,0.0,57.6339651272034,605156.633835636,102071.588444022,19.7262800377216,18.0116578558604,18.868968946791,0.502005406653499,7.52631424099911 
 06/29  06:00:00,17.,0.0,57.6339651272034,605156.633835636,1350558.88044173,19.648521283658,18.0416096428074,18.8450654632327,0.502142969608335,6.69167475395265 
 06/29  07:00:00,17.,0.640377402435303,345.80379076322,605156.633835636,3660163.8131098,19.9280269263958,18.0464518959857,18.9872394111908,0.250989326396275,8.36292670318841 
 06/29  08:00:00,17.,9.60566103652954,979.777407162458,1642568.0061253,5131439.50044413,20.5954222026886,18.4600905404871,19.5277563715878,0.251299047301325,10.5342030512201 
 06/29  09:00:00,18.25,11.5267932438355,1095.04533741686,1642568.0061253,9505746.35293188,21.7799084324466,19.7226786561924,20.7512935443195,0.251391051158458,10.5380597602802 
 06/29  10:00:00,19.,11.5267932438355,1095.04533741686,1642568.0061253,13393795.2228781,23.1110616208456,20.660315924404,21.8856887726248,0.251414988827918,10.5390632032832 
 06/29  11:00:00,19.625,10.2460384389648,1095.04533741686,1642568.0061253,16689930.8824665,24.3752982869068,21.4763902440909,22.9258442654989,0.251575901509677,10.5458085008932 
 06/29  12:00:00,21.25,10.2460384389648,922.143442035254,1642568.0061253,18847583.2424662,25.6311859115135,22.4615508494091,24.0463683804613,0.251122544502212,17.5568294461801 
 06/29  13:00:00,22.,10.2460384389648,922.143442035254,1642568.0061253,18500447.7819483,26.7868145323726,23.2420945744484,25.0144545534105,0.251049095976879,18.5572964146142 
 06/29  14:00:00,22.625,10.2460384389648,922.143442035254,1642568.0061253,15989834.3166373,27.5524929318448,23.9181384775797,25.7353157047123,0.251089851638182,18.5603090320643 
 06/29  15:00:00,22.375,5.76339662191773,806.875511780847,1642568.0061253,12294110.3810831,27.9355063237976,23.7445149016138,25.8400106127057,0.251157551025696,18.5653133026286 
 06/29  16:00:00,21.375,1.53690576584473,576.339651272034,1642568.0061253,9329790.07127538,27.7733583218521,22.9300019774702,25.3516801496611,0.251321059101023,18.1984626980581 
 06/29  17:00:00,21.,1.53690576584473,576.339651272034,605156.633835636,7214274.53893186,27.3303094355865,22.5095413014284,24.9199253685075,0.251284113178531,18.1957873990015 
 06/29  18:00:00,19.75,1.53690576584473,403.437755890424,605156.633835636,5393271.5726829,26.7478152375997,21.8378826420662,24.2928489398329,0.251912508619489,14.2043314797262 
 06/29  19:00:00,18.375,2.56150960974121,403.437755890424,605156.633835636,2887685.38054998,25.9353971888404,21.1060154266,23.5207063077202,0.252342101035205,10.1974503497312 
 06/29  20:00:00,17.375,2.56150960974121,403.437755890424,605156.633835636,228012.847572659,24.8512085575433,20.0907038170996,22.4709561873214,0.252337097113662,10.1972481351927 
 06/29  21:00:00,17.,1.28075480487061,345.80379076322,605156.633835636,0.0,23.8938155636938,19.439281589934,21.6665485768139,0.504205744872735,10.0841148974547 
 06/29  22:00:00,17.,0.0,57.6339651272034,605156.633835636,0.0,23.0785572151657,19.072115836428,21.0753365257968,0.503574449143562,10.0714889828712 
 06/29  23:00:00,16.375,0.0,57.6339651272034,605156.633835636,0.0,22.32226212858,18.3847827541956,20.3535224413878,0.503475927919957,10.0695185583991 
 06/29  24:00:00,15.375,0.0,57.6339651272034,605156.633835636,0.0,21.5062353059169,17.9378722196876,19.7220537628022,0.504724461148845,7.5619291142364 
 06/30  01:00:00,15.,0.0,57.6339651272034,605156.633835636,0.0,20.7922487490058,17.5508448206442,19.171546784825,0.504801610551756,6.72197487847122 
 06/30  02:00:00,15.625,0.0,57.6339651272034,605156.633835636,0.0,20.2718564940584,17.6066270735946,18.9392417838265,0.50380418723327,6.71055637452081 
 06/30  03:00:00,15.375,0.0,57.6339651272034,605156.633835636,0.0,19.9792623035475,17.7916215128636,18.8854419082056,0.504563804858602,4.1958215677917 
 06/30  04:00:00,15.,0.0,57.6339651272034,605156.633835636,0.0,19.7573022594859,17.6916647913212,18.7244835254036,0.505046651683698,3.3592868106475 
 06/30  05:00:00,15.,0.0,57.6339651272034,605156.633835636,64692.2883785911,19.4916368661461,17.5244584789205,18.5080476725333,0.504730749914214,3.35767949584049 
 06/30  06:00:00,15.625,0.0,57.6339651272034,605156.633835636,967964.993461209,19.4008605963125,17.6891092896677,18.5449849429901,0.503922807016817,3.3539298950373 
 06/30  07:00:00,16.,0.640377402435303,345.80379076322,605156.633835636,3206638.80522686,19.7263969814757,18.1149578735481,18.9206774275119,0.25200301188206,3.35377100059094 
 06/30  08:00:00,16.625,9.60566103652954,979.777407162458,1642568.0061253,5642877.30561188,20.4821277590145,18.4226711781992,19.4523994686068,0.251581100450387,9.28061815075996 
 06/30  09:00:00,17.,11.5267932438355,1095.04533741686,1642568.0061253,10099255.7418714,21.5949635287709,18.851895526067,20.223429527419,0.251591858050341,10.5464773830126 
 06/30  10:00:00,17.625,11.5267932438355,1095.04533741686,1642568.0061253,13205273.6406403,22.6828316841282,19.6406020937512,21.1617168889397,0.251728742548166,10.552215443344 
 06/30  11:00:00,18.625,10.2460384389648,1095.04533741686,1642568.0061253,17304666.0795996,23.949162920727,20.6870977918301,22.3181303562786,0.251762537756993,10.5536321044726 
 06/30  12:00:00,19.,10.2460384389648,922.143442035254,1642568.0061253,20167435.706239,25.2088788679282,21.3658482126668,23.2873635402975,0.252020185655999,10.5644324449951 
 06/30  13:00:00,19.625,10.2460384389648,922.143442035254,1642568.0061253,20378890.7094453,26.329336261535,21.9977537977482,24.1635450296416,0.252103270189799,12.2451859265109 
 06/30  14:00:00,20.625,10.2460384389648,922.143442035254,1642568.0061253,18260050.3859113,27.0034568015,22.3688959615516,24.6861763815258,0.251527111327738,17.9201113182347 
 06/30  15:00:00,20.375,5.76339662191773,806.875511780847,1642568.0061253,14131641.5108767,27.2223674080586,22.1007750723077,24.6615712401832,0.251469412519594,18.5883657902707 
 06/30  16:00:00,19.375,1.53690576584473,576.339651272034,1642568.0061253,10111328.3398675,26.8839700133533,21.7383628695267,24.31116644144,0.252206133970864,13.549812661615 
 06/30  17:00:00,18.375,1.53690576584473,576.339651272034,605156.633835636,7897406.49262631,26.5237765990021,21.2967674394418,23.910272019222,0.252505752383006,10.2040636991763 
 06/30  18:00:00,17.375,1.53690576584473,403.437755890424,605156.633835636,5649091.73010735,25.7919615307102,20.4133028605024,23.1026321956063,0.252615304820148,10.2084908460292 
 06/30  19:00:00,16.375,2.56150960974121,403.437755890424,605156.633835636,3080841.48546568,24.8327900514136,19.4721213628599,22.1524557071368,0.25267475037398,10.2108931129566 
 06/30  20:00:00,15.375,2.56150960974121,403.437755890424,605156.633835636,236257.304735236,23.6308120839609,18.4057573114187,21.0182846976898,0.252626632643071,10.2089486170922 
 06/30  21:00:00,14.375,1.28075480487061,345.80379076322,605156.633835636,0.0,22.570055084496,18.384336475434,20.477195779965,0.507279797583171,6.3236540772409 
 06/30  22:00:00,14.,0.0,57.6339651272034,605156.633835636,0.0,21.6134070677772,17.4507590596495,19.5320830637133,0.506336998470691,6.73935851401528 
 06/30  23:00:00,14.,0.0,57.6339651272034,605156.633835636,0.0,20.9076593149722,17.521910653821,19.2147849843966,0.506461281727395,5.05045829599067 
 06/30  24:00:00,14.,0.0,57.6339651272034,605156.633835636,0.0,20.6597264203689,17.8438652463616,19.2517958333652,0.507022487742977,3.36829866411506 
 07/01  01:00:00,14.,0.0,57.6339651272034,605156.633835636,0.0,20.2768979951732,17.6198080382622,18.9483530167177,0.506680644591837,3.36694143782122 
 07/01  02:00:00,14.,0.0,57.6339651272034,605156.633835636,0.0,19.8461505383515,17.3645986662824,18.605374602317,0.506238277208882,3.36494940349096 
 07/01  03:00:00,14.,0.0,57.6339651272034,605156.633835636,0.0,19.4786913811858,17.0304697110424,18.2545805461141,0.505674519524195,3.36414109214454 
 07/01  04:00:00,14.,0.0,57.6339651272034,605156.633835636,0.0,19.1655349076074,16.8512711613639,18.0084030344856,0.505365281880717,3.36296776884072 
 07/01  05:00:00,13.375,0.0,57.6339651272034,605156.633835636,133078.351699452,18.8270717405074,17.2431851707631,18.0351284556352,0.507026170103078,1.68178670314572 
 07/01  06:00:00,13.,0.0,57.6339651272034,605156.633835636,1666195.55725819,18.6963726922226,16.7404074882507,17.7183900902366,0.506880866705353,2.10158067794112 
 07/01  07:00:00,15.5,0.0,57.6339651272034,605156.633835636,4079920.53990702,19.0102014940678,17.3634685107385,18.1868350024031,0.251791286484589,3.77025788159454 
 07/01  08:00:00,16.375,0.0,57.6339651272034,605156.633835636,6150958.30074877,19.4722681454602,17.8480045795397,18.6601363625,0.251457848826595,5.0223888567939 
 07/01  09:00:00,16.625,0.0,57.6339651272034,605156.633835636,8371026.60134365,19.9764881439651,18.2247521308303,19.1006201373977,0.251554309737863,5.02329813134366 
 07/01  10:00:00,17.625,0.0,57.6339651272034,605156.633835636,12153469.271864,20.568977841345,18.50458283571,19.5367803385275,0.250758889575362,10.0303555830145 
 07/01  11:00:00,19.875,0.0,57.6339651272034,605156.633835636,16276020.3831588,21.8183550398789,20.3532593808764,21.0858072103776,0.250578705045995,10.0231482018398 
 07/01  12:00:00,22.25,0.0,57.6339651272034,605156.633835636,19239845.33585,23.6279182490202,22.4829043329667,23.0554112909935,0.250368399426146,16.6911241094144 
 07/01  13:00:00,23.,0.0,57.6339651272034,605156.633835636,19562222.3052805,25.1857428206483,23.3914788860502,24.2886108533492,0.250332198598979,18.0239182991265 
