Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),ZN_1_FLR_1_SEC_4:Zone People Number Of Occupants [](Hourly),ZN_1_FLR_1_SEC_4:Zone Lights Electric Power [W](Hourly),ZN_1_FLR_1_SEC_4:Zone Electric Equipment Electric Consumption [J](Hourly),80224C:Window Transmitted Solar Energy[J](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Radiant Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Air Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Operative Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Infiltration Air Change Rate [ach](Hourly),ZN_1_FLR_1_SEC_4:Zone Ventilation Air Change Rate [ach](Hourly) 
 01/21  11:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.84596939604231,3.21624205447396,3.03110572525814,0.249135622296018,0.0 
 01/21  12:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.8409345658592,3.21148733984632,3.02621095285276,0.249131431897826,0.0 
 01/21  13:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.8362315924317,3.2071201786156,3.02167588552365,0.249127583027942,0.0 
 01/21  14:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.83176849347676,3.20301623452034,3.01739236399855,0.249123966112336,0.0 
 01/21  15:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.82749352550241,3.19910909254028,3.01330130902134,0.249120522621702,0.0 
 01/21  16:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.82337516641798,3.1953596394819,3.00936740294994,0.249117218087254,0.0 
 01/21  17:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.8193931394005,3.191743375754,3.00556825757725,0.249114030918892,0.0 
 01/21  18:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.81553382734263,3.1882442552905,3.00188904131657,0.249110946976443,0.0 
 01/21  19:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.81178770197369,3.18485134842158,2.99831952519764,0.249107956628723,0.0 
 01/21  20:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.80814779993678,3.18155690497152,2.99485235245415,0.249105053046547,0.0 
 01/21  21:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.80460879126343,3.17835518472296,2.9914819879932,0.249102231172072,0.0 
 01/21  22:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.8070514578598,3.24164951627051,3.02435048706516,0.498316027240197,0.0 
 01/21  23:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.81576020969661,3.26005342306432,3.03790681638047,0.49834846477722,0.0 
 01/21  24:00:00,4.2,0.0,57.6339651272034,605156.633835636,0.0,2.82005703764469,3.26491484403321,3.04248594083895,0.498357032996846,0.0 
 01/21  01:00:00,10.7,0.0,57.6339651272034,605156.633835636,0.0,8.71684304985812,9.23853954917435,8.97769129951623,0.497429391862347,0.0 
